"Time","sum"
2022-07-25 18:00:00,3.13
2022-07-25 18:00:15,3.13
2022-07-25 18:00:30,176
2022-07-25 18:00:45,176
2022-07-25 18:01:00,234
2022-07-25 18:01:15,234
2022-07-25 18:01:30,188
2022-07-25 18:01:45,188
2022-07-25 18:02:00,196
2022-07-25 18:02:15,196
2022-07-25 18:02:30,149
2022-07-25 18:02:45,149
2022-07-25 18:03:00,185
2022-07-25 18:03:15,185
2022-07-25 18:03:30,168
2022-07-25 18:03:45,168
2022-07-25 18:04:00,121
2022-07-25 18:04:15,122
2022-07-25 18:04:30,142
2022-07-25 18:04:45,142
2022-07-25 18:05:00,116
2022-07-25 18:05:15,116
2022-07-25 18:05:30,120
2022-07-25 18:05:45,120
2022-07-25 18:06:00,164
2022-07-25 18:06:15,164
2022-07-25 18:06:30,168
2022-07-25 18:06:45,168
2022-07-25 18:07:00,150
2022-07-25 18:07:15,150
2022-07-25 18:07:30,177
2022-07-25 18:07:45,177
2022-07-25 18:08:00,235
2022-07-25 18:08:15,235
2022-07-25 18:08:30,208
2022-07-25 18:08:45,208
2022-07-25 18:09:00,198
2022-07-25 18:09:15,198
2022-07-25 18:09:30,276
2022-07-25 18:09:45,277
2022-07-25 18:10:00,286
2022-07-25 18:10:15,286
2022-07-25 18:10:30,271
2022-07-25 18:10:45,271
2022-07-25 18:11:00,282
2022-07-25 18:11:15,282
2022-07-25 18:11:30,295
2022-07-25 18:11:45,295
2022-07-25 18:12:00,262
2022-07-25 18:12:15,262
2022-07-25 18:12:30,286
2022-07-25 18:12:45,286
2022-07-25 18:13:00,268
2022-07-25 18:13:15,268
2022-07-25 18:13:30,267
2022-07-25 18:13:45,267
2022-07-25 18:14:00,264
2022-07-25 18:14:15,264
2022-07-25 18:14:30,283
2022-07-25 18:14:45,283
2022-07-25 18:15:00,279
2022-07-25 18:15:15,279
2022-07-25 18:15:30,255
2022-07-25 18:15:45,255
2022-07-25 18:16:00,288
2022-07-25 18:16:15,288
2022-07-25 18:16:30,263
2022-07-25 18:16:45,263
2022-07-25 18:17:00,235
2022-07-25 18:17:15,235
2022-07-25 18:17:30,321
2022-07-25 18:17:45,321
2022-07-25 18:18:00,292
2022-07-25 18:18:15,292
2022-07-25 18:18:30,290
2022-07-25 18:18:45,290
2022-07-25 18:19:00,245
2022-07-25 18:19:15,245
2022-07-25 18:19:30,292
2022-07-25 18:19:45,292
2022-07-25 18:20:00,277
2022-07-25 18:20:15,277
2022-07-25 18:20:30,236
2022-07-25 18:20:45,236
2022-07-25 18:21:00,296
2022-07-25 18:21:15,296
2022-07-25 18:21:30,272
2022-07-25 18:21:45,273
2022-07-25 18:22:00,252
2022-07-25 18:22:15,252
2022-07-25 18:22:30,199
2022-07-25 18:22:45,199
2022-07-25 18:23:00,230
2022-07-25 18:23:15,230
2022-07-25 18:23:30,242
2022-07-25 18:23:45,242
2022-07-25 18:24:00,266
2022-07-25 18:24:15,266
2022-07-25 18:24:30,139
2022-07-25 18:24:45,139
2022-07-25 18:25:00,251
2022-07-25 18:25:15,251
2022-07-25 18:25:30,198
2022-07-25 18:25:45,198
2022-07-25 18:26:00,157
2022-07-25 18:26:15,157
2022-07-25 18:26:30,142
2022-07-25 18:26:45,142
2022-07-25 18:27:00,133
2022-07-25 18:27:15,133
2022-07-25 18:27:30,151
2022-07-25 18:27:45,151
2022-07-25 18:28:00,125
2022-07-25 18:28:15,125
2022-07-25 18:28:30,107
2022-07-25 18:28:45,107
2022-07-25 18:29:00,95.8
2022-07-25 18:29:15,95.8
2022-07-25 18:29:30,102
2022-07-25 18:29:45,102
2022-07-25 18:30:00,97.2
2022-07-25 18:30:15,97.2
2022-07-25 18:30:30,132
2022-07-25 18:30:45,132
2022-07-25 18:31:00,95.6
2022-07-25 18:31:15,95.6
2022-07-25 18:31:30,124
2022-07-25 18:31:45,124
2022-07-25 18:32:00,135
2022-07-25 18:32:15,135
2022-07-25 18:32:30,134
2022-07-25 18:32:45,134
2022-07-25 18:33:00,170
2022-07-25 18:33:15,170
2022-07-25 18:33:30,152
2022-07-25 18:33:45,152
2022-07-25 18:34:00,240
2022-07-25 18:34:15,240
2022-07-25 18:34:30,255
2022-07-25 18:34:45,255
2022-07-25 18:35:00,212
2022-07-25 18:35:15,212
2022-07-25 18:35:30,285
2022-07-25 18:35:45,285
2022-07-25 18:36:00,307
2022-07-25 18:36:15,307
2022-07-25 18:36:30,257
2022-07-25 18:36:45,257
2022-07-25 18:37:00,290
2022-07-25 18:37:15,290
2022-07-25 18:37:30,234
2022-07-25 18:37:45,234
2022-07-25 18:38:00,245
2022-07-25 18:38:15,245
2022-07-25 18:38:30,298
2022-07-25 18:38:45,298
2022-07-25 18:39:00,272
2022-07-25 18:39:15,272
2022-07-25 18:39:30,275
2022-07-25 18:39:45,275
2022-07-25 18:40:00,207
2022-07-25 18:40:15,207
2022-07-25 18:40:30,332
2022-07-25 18:40:45,332
2022-07-25 18:41:00,341
2022-07-25 18:41:15,341
2022-07-25 18:41:30,302
2022-07-25 18:41:45,302
2022-07-25 18:42:00,315
2022-07-25 18:42:15,315
2022-07-25 18:42:30,231
2022-07-25 18:42:45,231
2022-07-25 18:43:00,363
2022-07-25 18:43:15,363
2022-07-25 18:43:30,258
2022-07-25 18:43:45,258
2022-07-25 18:44:00,269
2022-07-25 18:44:15,269
2022-07-25 18:44:30,369
2022-07-25 18:44:45,369
2022-07-25 18:45:00,267
2022-07-25 18:45:15,267
2022-07-25 18:45:30,305
2022-07-25 18:45:45,305
2022-07-25 18:46:00,272
2022-07-25 18:46:15,272
2022-07-25 18:46:30,313
2022-07-25 18:46:45,313
2022-07-25 18:47:00,209
2022-07-25 18:47:15,209
2022-07-25 18:47:30,294
2022-07-25 18:47:45,294
2022-07-25 18:48:00,272
2022-07-25 18:48:15,272
2022-07-25 18:48:30,241
2022-07-25 18:48:45,241
2022-07-25 18:49:00,286
2022-07-25 18:49:15,286
2022-07-25 18:49:30,198
2022-07-25 18:49:45,198
2022-07-25 18:50:00,182
2022-07-25 18:50:15,182
2022-07-25 18:50:30,190
2022-07-25 18:50:45,190
2022-07-25 18:51:00,156
2022-07-25 18:51:15,156
2022-07-25 18:51:30,180
2022-07-25 18:51:45,180
2022-07-25 18:52:00,151
2022-07-25 18:52:15,151
2022-07-25 18:52:30,152
2022-07-25 18:52:45,152
2022-07-25 18:53:00,165
2022-07-25 18:53:15,165
2022-07-25 18:53:30,138
2022-07-25 18:53:45,138
2022-07-25 18:54:00,97.5
2022-07-25 18:54:15,97.5
2022-07-25 18:54:30,171
2022-07-25 18:54:45,171
2022-07-25 18:55:00,144
2022-07-25 18:55:15,144
2022-07-25 18:55:30,95.3
2022-07-25 18:55:45,95.3
2022-07-25 18:56:00,149
2022-07-25 18:56:15,149
2022-07-25 18:56:30,177
2022-07-25 18:56:45,177
2022-07-25 18:57:00,175
2022-07-25 18:57:15,175
2022-07-25 18:57:30,181
2022-07-25 18:57:45,181
2022-07-25 18:58:00,160
2022-07-25 18:58:15,160
2022-07-25 18:58:30,281
2022-07-25 18:58:45,281
2022-07-25 18:59:00,225
2022-07-25 18:59:15,225
2022-07-25 18:59:30,265
2022-07-25 18:59:45,265
2022-07-25 19:00:00,252
2022-07-25 19:00:15,252
2022-07-25 19:00:30,237
2022-07-25 19:00:45,237
2022-07-25 19:01:00,205
2022-07-25 19:01:15,205
2022-07-25 19:01:30,285
2022-07-25 19:01:45,285
2022-07-25 19:02:00,304
2022-07-25 19:02:15,304
2022-07-25 19:02:30,247
2022-07-25 19:02:45,247
2022-07-25 19:03:00,292
2022-07-25 19:03:15,292
2022-07-25 19:03:30,301
2022-07-25 19:03:45,301
2022-07-25 19:04:00,283
2022-07-25 19:04:15,283
2022-07-25 19:04:30,295
2022-07-25 19:04:45,295
2022-07-25 19:05:00,224
2022-07-25 19:05:15,224
2022-07-25 19:05:30,321
2022-07-25 19:05:45,321
2022-07-25 19:06:00,303
2022-07-25 19:06:15,303
2022-07-25 19:06:30,305
2022-07-25 19:06:45,305
2022-07-25 19:07:00,433
2022-07-25 19:07:15,433
2022-07-25 19:07:30,323
2022-07-25 19:07:45,323
2022-07-25 19:08:00,318
2022-07-25 19:08:15,318
2022-07-25 19:08:30,317
2022-07-25 19:08:45,317
2022-07-25 19:09:00,341
2022-07-25 19:09:15,341
2022-07-25 19:09:30,368
2022-07-25 19:09:45,368
2022-07-25 19:10:00,316
2022-07-25 19:10:15,316
2022-07-25 19:10:30,341
2022-07-25 19:10:45,341
2022-07-25 19:11:00,369
2022-07-25 19:11:15,369
2022-07-25 19:11:30,260
2022-07-25 19:11:45,260
2022-07-25 19:12:00,314
2022-07-25 19:12:15,314
2022-07-25 19:12:30,266
2022-07-25 19:12:45,266
2022-07-25 19:13:00,261
2022-07-25 19:13:15,261
2022-07-25 19:13:30,210
2022-07-25 19:13:45,210
2022-07-25 19:14:00,199
2022-07-25 19:14:15,199
2022-07-25 19:14:30,165
2022-07-25 19:14:45,165
2022-07-25 19:15:00,209
2022-07-25 19:15:15,209
2022-07-25 19:15:30,169
2022-07-25 19:15:45,169
2022-07-25 19:16:00,147
2022-07-25 19:16:15,147
2022-07-25 19:16:30,167
2022-07-25 19:16:45,167
2022-07-25 19:17:00,179
2022-07-25 19:17:15,179
2022-07-25 19:17:30,148
2022-07-25 19:17:45,148
2022-07-25 19:18:00,146
2022-07-25 19:18:15,146
2022-07-25 19:18:30,169
2022-07-25 19:18:45,169
2022-07-25 19:19:00,107
2022-07-25 19:19:15,107
2022-07-25 19:19:30,141
2022-07-25 19:19:45,141
2022-07-25 19:20:00,188
2022-07-25 19:20:15,188
2022-07-25 19:20:30,182
2022-07-25 19:20:45,182
2022-07-25 19:21:00,230
2022-07-25 19:21:15,230
2022-07-25 19:21:30,285
2022-07-25 19:21:45,285
2022-07-25 19:22:00,257
2022-07-25 19:22:15,257
2022-07-25 19:22:30,324
2022-07-25 19:22:45,324
2022-07-25 19:23:00,472
2022-07-25 19:23:15,472
2022-07-25 19:23:30,436
2022-07-25 19:23:45,436
2022-07-25 19:24:00,505
2022-07-25 19:24:15,505
2022-07-25 19:24:30,396
2022-07-25 19:24:45,396
2022-07-25 19:25:00,489
2022-07-25 19:25:15,489
2022-07-25 19:25:30,524
2022-07-25 19:25:45,524
2022-07-25 19:26:00,488
2022-07-25 19:26:15,488
2022-07-25 19:26:30,433
2022-07-25 19:26:45,433
2022-07-25 19:27:00,510
2022-07-25 19:27:15,510
2022-07-25 19:27:30,439
2022-07-25 19:27:45,439
2022-07-25 19:28:00,548
2022-07-25 19:28:15,548
2022-07-25 19:28:30,529
2022-07-25 19:28:45,529
2022-07-25 19:29:00,595
2022-07-25 19:29:15,595
2022-07-25 19:29:30,438
2022-07-25 19:29:45,438
2022-07-25 19:30:00,574
2022-07-25 19:30:15,574
2022-07-25 19:30:30,459
2022-07-25 19:30:45,459
2022-07-25 19:31:00,522
2022-07-25 19:31:15,522
2022-07-25 19:31:30,533
2022-07-25 19:31:45,533
2022-07-25 19:32:00,542
2022-07-25 19:32:15,542
2022-07-25 19:32:30,540
2022-07-25 19:32:45,540
2022-07-25 19:33:00,461
2022-07-25 19:33:15,461
2022-07-25 19:33:30,483
2022-07-25 19:33:45,483
2022-07-25 19:34:00,470
2022-07-25 19:34:15,470
2022-07-25 19:34:30,396
2022-07-25 19:34:45,396
2022-07-25 19:35:00,463
2022-07-25 19:35:15,463
2022-07-25 19:35:30,365
2022-07-25 19:35:45,365
2022-07-25 19:36:00,412
2022-07-25 19:36:15,412
2022-07-25 19:36:30,374
2022-07-25 19:36:45,374
2022-07-25 19:37:00,433
2022-07-25 19:37:15,433
2022-07-25 19:37:30,338
2022-07-25 19:37:45,338
2022-07-25 19:38:00,256
2022-07-25 19:38:15,256
2022-07-25 19:38:30,244
2022-07-25 19:38:45,244
2022-07-25 19:39:00,242
2022-07-25 19:39:15,242
2022-07-25 19:39:30,206
2022-07-25 19:39:45,206
2022-07-25 19:40:00,206
2022-07-25 19:40:15,206
2022-07-25 19:40:30,201
2022-07-25 19:40:45,201
2022-07-25 19:41:00,145
2022-07-25 19:41:15,145
2022-07-25 19:41:30,188
2022-07-25 19:41:45,188
2022-07-25 19:42:00,142
2022-07-25 19:42:15,142
2022-07-25 19:42:30,172
2022-07-25 19:42:45,173
2022-07-25 19:43:00,163
2022-07-25 19:43:15,163
2022-07-25 19:43:30,156
2022-07-25 19:43:45,156
2022-07-25 19:44:00,161
2022-07-25 19:44:15,161
2022-07-25 19:44:30,234
2022-07-25 19:44:45,234
2022-07-25 19:45:00,239
2022-07-25 19:45:15,239
2022-07-25 19:45:30,280
2022-07-25 19:45:45,280
2022-07-25 19:46:00,325
2022-07-25 19:46:15,325
2022-07-25 19:46:30,493
2022-07-25 19:46:45,493
2022-07-25 19:47:00,482
2022-07-25 19:47:15,482
2022-07-25 19:47:30,505
2022-07-25 19:47:45,505
2022-07-25 19:48:00,496
2022-07-25 19:48:15,496
2022-07-25 19:48:30,492
2022-07-25 19:48:45,492
2022-07-25 19:49:00,497
2022-07-25 19:49:15,497
2022-07-25 19:49:30,498
2022-07-25 19:49:45,498
2022-07-25 19:50:00,521
2022-07-25 19:50:15,521
2022-07-25 19:50:30,537
2022-07-25 19:50:45,537
2022-07-25 19:51:00,585
2022-07-25 19:51:15,585
2022-07-25 19:51:30,608
2022-07-25 19:51:45,608
2022-07-25 19:52:00,577
2022-07-25 19:52:15,577
2022-07-25 19:52:30,503
2022-07-25 19:52:45,503
2022-07-25 19:53:00,630
2022-07-25 19:53:15,630
2022-07-25 19:53:30,410
2022-07-25 19:53:45,410
2022-07-25 19:54:00,589
2022-07-25 19:54:15,589
2022-07-25 19:54:30,517
2022-07-25 19:54:45,517
2022-07-25 19:55:00,455
2022-07-25 19:55:15,455
2022-07-25 19:55:30,583
2022-07-25 19:55:45,583
2022-07-25 19:56:00,498
2022-07-25 19:56:15,498
2022-07-25 19:56:30,455
2022-07-25 19:56:45,455
2022-07-25 19:57:00,470
2022-07-25 19:57:15,470
2022-07-25 19:57:30,430
2022-07-25 19:57:45,430
2022-07-25 19:58:00,467
2022-07-25 19:58:15,467
2022-07-25 19:58:30,449
2022-07-25 19:58:45,449
2022-07-25 19:59:00,411
2022-07-25 19:59:15,411
2022-07-25 19:59:30,480
2022-07-25 19:59:45,480
2022-07-25 20:00:00,413
2022-07-25 20:00:15,413
2022-07-25 20:00:30,377
2022-07-25 20:00:45,377
2022-07-25 20:01:00,349
2022-07-25 20:01:15,350
2022-07-25 20:01:30,334
2022-07-25 20:01:45,334
2022-07-25 20:02:00,362
2022-07-25 20:02:15,362
2022-07-25 20:02:30,283
2022-07-25 20:02:45,283
2022-07-25 20:03:00,296
2022-07-25 20:03:15,296
2022-07-25 20:03:30,286
2022-07-25 20:03:45,287
2022-07-25 20:04:00,249
2022-07-25 20:04:15,249
2022-07-25 20:04:30,239
2022-07-25 20:04:45,239
2022-07-25 20:05:00,214
2022-07-25 20:05:15,214
2022-07-25 20:05:30,222
2022-07-25 20:05:45,222
2022-07-25 20:06:00,151
2022-07-25 20:06:15,151
2022-07-25 20:06:30,188
2022-07-25 20:06:45,188
2022-07-25 20:07:00,161
2022-07-25 20:07:15,161
2022-07-25 20:07:30,197
2022-07-25 20:07:45,197
2022-07-25 20:08:00,160
2022-07-25 20:08:15,160
2022-07-25 20:08:30,187
2022-07-25 20:08:45,187
2022-07-25 20:09:00,199
2022-07-25 20:09:15,199
2022-07-25 20:09:30,242
2022-07-25 20:09:45,242
2022-07-25 20:10:00,252
2022-07-25 20:10:15,253
2022-07-25 20:10:30,388
2022-07-25 20:10:45,388
2022-07-25 20:11:00,331
2022-07-25 20:11:15,331
2022-07-25 20:11:30,380
2022-07-25 20:11:45,380
2022-07-25 20:12:00,437
2022-07-25 20:12:15,437
2022-07-25 20:12:30,479
2022-07-25 20:12:45,479
2022-07-25 20:13:00,490
2022-07-25 20:13:15,490
2022-07-25 20:13:30,490
2022-07-25 20:13:45,490
2022-07-25 20:14:00,518
2022-07-25 20:14:15,518
2022-07-25 20:14:30,446
2022-07-25 20:14:45,446
2022-07-25 20:15:00,543
2022-07-25 20:15:15,543
2022-07-25 20:15:30,570
2022-07-25 20:15:45,570
2022-07-25 20:16:00,472
2022-07-25 20:16:15,472
2022-07-25 20:16:30,497
2022-07-25 20:16:45,497
2022-07-25 20:17:00,545
2022-07-25 20:17:15,545
2022-07-25 20:17:30,550
2022-07-25 20:17:45,550
2022-07-25 20:18:00,489
2022-07-25 20:18:15,489
2022-07-25 20:18:30,391
2022-07-25 20:18:45,391
2022-07-25 20:19:00,528
2022-07-25 20:19:15,528
2022-07-25 20:19:30,442
2022-07-25 20:19:45,442
2022-07-25 20:20:00,625
2022-07-25 20:20:15,625
2022-07-25 20:20:30,463
2022-07-25 20:20:45,463
2022-07-25 20:21:00,547
2022-07-25 20:21:15,547
2022-07-25 20:21:30,632
2022-07-25 20:21:45,632
2022-07-25 20:22:00,435
2022-07-25 20:22:15,435
2022-07-25 20:22:30,469
2022-07-25 20:22:45,469
2022-07-25 20:23:00,444
2022-07-25 20:23:15,444
2022-07-25 20:23:30,392
2022-07-25 20:23:45,392
2022-07-25 20:24:00,419
2022-07-25 20:24:15,419
2022-07-25 20:24:30,356
2022-07-25 20:24:45,356
2022-07-25 20:25:00,428
2022-07-25 20:25:15,428
2022-07-25 20:25:30,396
2022-07-25 20:25:45,396
2022-07-25 20:26:00,305
2022-07-25 20:26:15,305
2022-07-25 20:26:30,323
2022-07-25 20:26:45,324
2022-07-25 20:27:00,272
2022-07-25 20:27:15,272
2022-07-25 20:27:30,293
2022-07-25 20:27:45,293
2022-07-25 20:28:00,197
2022-07-25 20:28:15,197
2022-07-25 20:28:30,206
2022-07-25 20:28:45,206
2022-07-25 20:29:00,207
2022-07-25 20:29:15,207
2022-07-25 20:29:30,184
2022-07-25 20:29:45,184
2022-07-25 20:30:00,184
2022-07-25 20:30:15,184
2022-07-25 20:30:30,155
2022-07-25 20:30:45,155
2022-07-25 20:31:00,150
2022-07-25 20:31:15,150
2022-07-25 20:31:30,184
2022-07-25 20:31:45,184
2022-07-25 20:32:00,160
2022-07-25 20:32:15,160
2022-07-25 20:32:30,156
2022-07-25 20:32:45,156
2022-07-25 20:33:00,168
2022-07-25 20:33:15,168
2022-07-25 20:33:30,181
2022-07-25 20:33:45,181
2022-07-25 20:34:00,253
2022-07-25 20:34:15,253
2022-07-25 20:34:30,285
2022-07-25 20:34:45,285
2022-07-25 20:35:00,396
2022-07-25 20:35:15,396
2022-07-25 20:35:30,311
2022-07-25 20:35:45,311
2022-07-25 20:36:00,469
2022-07-25 20:36:15,469
2022-07-25 20:36:30,446
2022-07-25 20:36:45,446
2022-07-25 20:37:00,421
2022-07-25 20:37:15,421
2022-07-25 20:37:30,462
2022-07-25 20:37:45,462
2022-07-25 20:38:00,560
2022-07-25 20:38:15,560
2022-07-25 20:38:30,493
2022-07-25 20:38:45,493
2022-07-25 20:39:00,401
2022-07-25 20:39:15,401
2022-07-25 20:39:30,542
2022-07-25 20:39:45,542
2022-07-25 20:40:00,529
2022-07-25 20:40:15,529
2022-07-25 20:40:30,504
2022-07-25 20:40:45,504
2022-07-25 20:41:00,609
2022-07-25 20:41:15,609
2022-07-25 20:41:30,531
2022-07-25 20:41:45,531
2022-07-25 20:42:00,529
2022-07-25 20:42:15,529
2022-07-25 20:42:30,667
2022-07-25 20:42:45,667
2022-07-25 20:43:00,429
2022-07-25 20:43:15,429
2022-07-25 20:43:30,553
2022-07-25 20:43:45,553
2022-07-25 20:44:00,468
2022-07-25 20:44:15,468
2022-07-25 20:44:30,635
2022-07-25 20:44:45,635
2022-07-25 20:45:00,528
2022-07-25 20:45:15,528
2022-07-25 20:45:30,485
2022-07-25 20:45:45,485
2022-07-25 20:46:00,426
2022-07-25 20:46:15,426
2022-07-25 20:46:30,447
2022-07-25 20:46:45,447
2022-07-25 20:47:00,417
2022-07-25 20:47:15,417
2022-07-25 20:47:30,428
2022-07-25 20:47:45,428
2022-07-25 20:48:00,459
2022-07-25 20:48:15,459
2022-07-25 20:48:30,350
2022-07-25 20:48:45,350
2022-07-25 20:49:00,347
2022-07-25 20:49:15,347
2022-07-25 20:49:30,418
2022-07-25 20:49:45,418
2022-07-25 20:50:00,353
2022-07-25 20:50:15,353
2022-07-25 20:50:30,373
2022-07-25 20:50:45,373
2022-07-25 20:51:00,196
2022-07-25 20:51:15,196
2022-07-25 20:51:30,1.70
2022-07-25 20:51:45,1.70

